Startup,Industry,SubVertical,City,Investors,InvestmentType,amount(cr.),Date
Mobikwik,Retail,E-Retail,Pune,"Accel, Bessemer Venture Partners, IFC",Seed,0.756,2021-05-26
Freshworks,AgriTech,Marketplace,Delhi,Tiger Global Management,Angel,0.108,2021-04-29
EduTech,FinTech,Lending,Pune,"IFC, Matrix Partners India, Zodius Capital",Series C,485.451,2022-04-23
AeroStack,FinTech,InsurTech,Gurugram,"Y Combinator, Zodius Capital",Seed,2.421,2025-02-23
HomeFoods,RealEstate,PropTech,Chennai,Tiger Global Management,Seed,8.145,2024-11-05
QuantumSolutions,Mobility,EV,Noida,IFC,Seed,0.936,2020-02-26
Swiggy,HealthTech,Pharmacy,Bengaluru,Kedaara Capital,Seed,2.997,2022-06-08
HyperLabs,Mobility,Ride Sharing,Chennai,Tiger Global,Angel,0.261,2021-01-24
DriveEdge_29,Retail,Fashion,Gurugram,"LCatterton, Prosus Ventures, Ribbit Capital",Pre-Series A,0.999,2020-05-23
NeoTech,Logistics,Fleet Management,Hyderabad,"A91 Partners, Kedaara Capital",Series B,242.532,2021-10-30
CloudLabs,FoodTech,Grocery,Delhi,"A91 Partners, Sequoia Capital India",Series A,14.283,2021-09-08
SmartTech,Retail,Fashion,Ahmedabad,"Info Edge, Lightspeed India",Series B,53.892,2022-08-10
FarmBox,Retail,Fashion,Delhi,"Prosus Ventures, Ribbit Capital",Series B,624.861,2021-08-04
Bounce,Enterprise,Analytics,Hyderabad,Sequoia Capital India,Seed,15.858,2021-02-11
HomeMart,AgriTech,Supply Chain,Kolkata,"Kedaara Capital, Lightspeed India",Pre-Series A,5.787,2023-07-13
NimbusLabs,HealthTech,Telemedicine,Mumbai,Bessemer Venture Partners,Series C,410.697,2021-03-24
SmartMart_37,EdTech,Test Prep,Kolkata,"A91 Partners, Falcon Edge, SoftBank Vision Fund",Seed,0.648,2022-08-09
Ola,AgriTech,Marketplace,Noida,"Blume Ventures, Info Edge",Pre-Series A,4.347,2025-01-31
FarmBox,Retail,E-Retail,Hyderabad,"Elevation Capital, Ribbit Capital",Series C,592.83,2022-12-03
Dunzo,Media,Content,Gurugram,"Accel, Nexus Venture Partners",Seed,0.702,2021-10-16
AeroHub,Media,Social,Mumbai,"Mirae Asset, Tiger Global",Pre-Series A,2.817,2021-11-08
QuantumDrive,Retail,Fashion,Bengaluru,"Sequoia Capital India, Y Combinator",Series D,487.08,2024-04-16
AgriFit,FoodTech,Food Delivery,Noida,"LCatterton, Mirae Asset",Series B,559.944,2023-01-23
SkillFlow,FinTech,InsurTech,Pune,"Kedaara Capital, Zodius Capital",Series B,92.214,2024-06-22
FreshSolutions,Mobility,Ride Sharing,Chennai,Accel,Series A,54.126,2023-09-19
DriveLoop,Consumer Electronics,Audio,Bengaluru,Info Edge,Seed,1.422,2021-11-01
BlueSpace,FoodTech,Food Delivery,Chennai,"A91 Partners, Sequoia Capital India",Seed,3.069,2020-06-16
NextFlow,E-commerce,Quick Commerce,Bengaluru,Ribbit Capital,Bridge,3.384,2021-02-12
MediWorks,RealEstate,PropTech,Ahmedabad,"Matrix Partners India, Omidyar Network, Y Combinator",Bridge,0.891,2022-08-10
Porter,Retail,E-Retail,Hyderabad,A91 Partners,Seed,16.092,2020-02-22
UrbanSolutions,Media,Social,Mumbai,"Elevation Capital, Kedaara Capital, Matrix Partners India",Series A,73.431,2024-08-28
Housejoy,Retail,Fashion,Bengaluru,"Falcon Edge, SoftBank Vision Fund, Y Combinator",Seed,14.4,2022-05-27
QuantumDrive,E-commerce,Fashion,Pune,"Info Edge, Kedaara Capital",Series B,537.885,2024-08-24
SkillFlow,Mobility,EV,Kolkata,"IFC, Matrix Partners India",Series A,45.441,2024-02-06
Unacademy,Logistics,Supply Chain,Gurugram,"Prosus Ventures, SoftBank Vision Fund",Series C,2185.146,2023-03-13
NimbusLabs,HealthTech,Health Analytics,Gurugram,Elevation Capital,Pre-Series A,1.107,2021-06-13
SkillSolutions,Mobility,Ride Sharing,Mumbai,"A91 Partners, Matrix Partners India",Seed,0.927,2022-04-12
FarmBox,Consumer Electronics,Wearables,Bengaluru,"Elevation Capital, Prosus Ventures",Seed,0.531,2021-03-29
Nykaa,Consumer Electronics,Smart Home,Noida,"Kedaara Capital, SoftBank Vision Fund",Seed,1.494,2024-03-07
SkillFlow,EdTech,Test Prep,Gurugram,"Peak XV, Prosus Ventures",Seed,1.89,2024-03-01
CloudLabs,Consumer Electronics,Wearables,Ahmedabad,"Accel, Elevation Capital",Bridge,1.224,2022-12-10
CloudLabs,SaaS,DevTools,Hyderabad,Elevation Capital,Pre-Seed,1.215,2022-12-29
Udaan,Mobility,EV,Delhi,"Accel, Sequoia Capital India",Series B,120.996,2024-03-21
HealthAnalytics,Consumer Electronics,Wearables,Delhi,"Accel, Tiger Global",Bridge,1.269,2021-06-01
NeoLabs_65,RealEstate,Rental Tech,Bengaluru,"Accel, Peak XV",Seed,3.33,2024-07-19
LogiMart,Retail,Grocery,Ahmedabad,Bessemer Venture Partners,Series A,13.185,2023-06-20
QuantumAnalytics,Consumer Electronics,Wearables,Ahmedabad,"Omidyar Network, Ribbit Capital",Debt,131.625,2021-09-17
Practo,Retail,E-Retail,Gurugram,Matrix Partners India,Seed,0.594,2020-06-15
Dunzo,HealthTech,Telemedicine,Chennai,"Elevation Capital, Matrix Partners India",Series A,130.293,2023-05-01
HealthAnalytics,Consumer Electronics,Audio,Gurugram,"Bessemer Venture Partners, Lightspeed India, Omidyar Network",Angel,0.459,2024-06-01
Porter,Mobility,Ride Sharing,Delhi,Tiger Global,Angel,0.081,2024-08-19
Dream11,Retail,Grocery,Ahmedabad,Info Edge,Series B,45.693,2023-03-11
InMobi,Media,Content,Chennai,"Accel, Mirae Asset",Bridge,9.108,2022-10-21
Razorpay,FoodTech,Grocery,Pune,Lightspeed India,Series A,61.038,2020-02-22
DataAnalytics,RealEstate,Home Services,Ahmedabad,Mirae Asset,Pre-Seed,0.963,2024-03-28
Ola,Logistics,Last Mile,Ahmedabad,"Mirae Asset, Tiger Global Management",Series A,72.666,2024-07-25
Freshworks,SaaS,HRTech,Mumbai,"Elevation Capital, Kedaara Capital",Series D,533.655,2021-11-06
FoodFit,Mobility,Ride Sharing,Kolkata,Nexus Venture Partners,Seed,1.692,2021-05-31
CoreConnect,Enterprise,Analytics,Noida,Falcon Edge,Series A,12.321,2020-04-21
Chargebee,RealEstate,Home Services,Bengaluru,Peak XV,Seed,10.863,2023-01-29
Dailyhunt,Media,Content,Mumbai,"Bessemer Venture Partners, Kedaara Capital",Pre-Seed,0.756,2023-07-14
FreshTech,Mobility,EV,Mumbai,Info Edge,Seed,1.521,2024-09-19
Housejoy,RealEstate,PropTech,Kolkata,"Kalaari Capital, Kedaara Capital",Angel,0.054,2021-08-20
AgriHive,EdTech,Coding Bootcamp,Noida,"Falcon Edge, IFC",Seed,1.413,2021-01-25
CRED,Logistics,Supply Chain,Pune,Zodius Capital,Angel,0.117,2022-11-05
HealthAnalytics,Enterprise,Automation,Ahmedabad,Info Edge,Debt,83.835,2022-09-29
AgriHive,Mobility,Micro Mobility,Chennai,Tiger Global Management,Series A,50.589,2021-10-21
MediWorks,EdTech,Coding Bootcamp,Bengaluru,"LCatterton, Tiger Global Management, Y Combinator",Seed,11.871,2022-08-26
WorkPay,FinTech,Lending,Noida,IFC,Bridge,2.565,2021-11-10
Dailyhunt,E-commerce,Grocery,Kolkata,"IFC, Tiger Global Management",Pre-Seed,0.234,2020-10-22
Dunzo,Consumer Electronics,Wearables,Pune,"Accel, Prosus Ventures, SoftBank Vision Fund",Series A,62.1,2022-03-25
QuantumAnalytics,RealEstate,Rental Tech,Kolkata,"Ribbit Capital, Tiger Global",Growth,3350.961,2020-03-14
SmartTech,Media,Social,Chennai,"Accel, Blume Ventures, Kedaara Capital",Bridge,3.564,2024-04-06
Delhivery,FinTech,Payments,Pune,Y Combinator,Series C,1452.114,2021-08-23
GreenConnect,FoodTech,Grocery,Delhi,"IFC, Ribbit Capital",Seed,2.781,2020-06-10
MediWorks,AgriTech,Supply Chain,Gurugram,"Matrix Partners India, Sequoia Capital India",Series A,37.071,2021-06-04
InMobi,Logistics,Fleet Management,Noida,Tiger Global Management,Seed,2.178,2022-06-23
Delhivery,RealEstate,Home Services,Hyderabad,Tiger Global Management,Series A,9.639,2021-09-10
AgriHive,FoodTech,Grocery,Pune,Sequoia Capital India,Series A,12.051,2023-12-03
AutoMart,AgriTech,Marketplace,Bengaluru,"LCatterton, Zodius Capital",Angel,0.045,2024-03-06
HomeFoods,SaaS,DevTools,Gurugram,"Nexus Venture Partners, Prosus Ventures, Ventures India",Series A,50.436,2023-10-20
Wakefit,RealEstate,Rental Tech,Bengaluru,Omidyar Network,Seed,1.431,2022-06-21
LogiSense,Logistics,Supply Chain,Chennai,"IFC, Y Combinator",Seed,2.934,2020-09-27
AeroAnalytics,Enterprise,Analytics,Hyderabad,"Elevation Capital, Tiger Global Management",Angel,0.684,2025-04-17
BlueSpace,Consumer Electronics,Audio,Delhi,"Kedaara Capital, Tiger Global Management",Series C,353.556,2021-04-07
Mobikwik,E-commerce,Fashion,Bengaluru,"Ventures India, Y Combinator",Seed,2.043,2020-09-10
CureFit,AgriTech,Smart Farming,Pune,"IFC, Sequoia Capital India",Seed,7.308,2021-04-23
NeoSense,EdTech,Test Prep,Kolkata,"Kalaari Capital, Nexus Venture Partners, Peak XV",Angel,0.09,2021-09-10
Oyo,Consumer Electronics,Audio,Mumbai,Kalaari Capital,Seed,0.594,2023-01-05
Nykaa,RealEstate,Rental Tech,Noida,"Accel, Blume Ventures, Kalaari Capital",Pre-Series A,1.755,2024-02-29
NeoLabs,Logistics,Last Mile,Pune,IFC,Seed,0.819,2022-06-29
Practo,RealEstate,Home Services,Noida,Tiger Global,Angel,0.729,2023-08-13
SkillSolutions,E-commerce,Fashion,Mumbai,"Bessemer Venture Partners, Omidyar Network, Sequoia Capital India",Series B,422.946,2023-08-07
HomeMart,Retail,Fashion,Gurugram,Lightspeed India,Seed,4.653,2024-04-16
PharmEasy,SaaS,DevTools,Ahmedabad,Tiger Global Management,Pre-Seed,1.341,2024-10-24
AutoStack,E-commerce,Quick Commerce,Delhi,Omidyar Network,Pre-Seed,1.143,2024-06-05
PhonePe,HealthTech,Pharmacy,Bengaluru,"Accel, Tiger Global",Seed,0.9,2022-05-12
EduMart,Mobility,Micro Mobility,Mumbai,"Bessemer Venture Partners, Tiger Global",Series A,100.917,2021-03-29
Oyo,Consumer Electronics,Smart Home,Bengaluru,"Accel, Info Edge",Seed,3.294,2022-09-07
Ola,E-commerce,Quick Commerce,Pune,Elevation Capital,Series A,80.145,2020-05-14
NeoSense,AgriTech,Marketplace,Hyderabad,"Accel, Kedaara Capital",Series A,101.889,2023-05-24
GreenEdge,EdTech,Coding Bootcamp,Pune,"Kedaara Capital, SoftBank Vision Fund",Series C,425.871,2022-03-27
HyperLabs,SaaS,DevTools,Kolkata,Accel,Seed,0.675,2024-08-30
Wakefit,Media,Streaming,Pune,Omidyar Network,Series C,333.693,2023-02-13
FreshBox,FoodTech,Food Delivery,Chennai,Tiger Global Management,Growth,1389.096,2024-01-16
FreshTech,AgriTech,Marketplace,Gurugram,IFC,Seed,9.198,2022-09-14
NextFlow,SaaS,B2B SaaS,Hyderabad,"Tiger Global Management, Zodius Capital",Series A,92.583,2024-07-11
GrowthFlow,RealEstate,Rental Tech,Hyderabad,"LCatterton, Ventures India, Y Combinator",Pre-Seed,0.18,2021-07-13
BlueTech,AgriTech,Marketplace,Chennai,"Accel, Falcon Edge, Tiger Global Management",Seed,2.961,2024-02-26
UrbanSolutions,SaaS,DevTools,Pune,"IFC, Omidyar Network",Seed,2.097,2021-10-26
HyperLoop,AgriTech,Supply Chain,Mumbai,"Info Edge, Mirae Asset",Seed,1.017,2023-09-17
SkillFlow,Mobility,Ride Sharing,Pune,"Mirae Asset, Prosus Ventures",Pre-Series A,1.188,2021-08-03
FarmFit,AgriTech,Supply Chain,Bengaluru,Ventures India,Seed,1.566,2025-04-20
CloudSolutions,E-commerce,Quick Commerce,Kolkata,Y Combinator,Series B,614.592,2020-12-25
HomeFoods,Enterprise,Automation,Pune,"LCatterton, Sequoia Capital India, Tiger Global",Seed,1.485,2024-10-30
HyperLabs,AgriTech,Smart Farming,Chennai,Tiger Global Management,Seed,3.051,2022-04-09
Lenskart,Retail,Fashion,Kolkata,Accel,Series D,2271.078,2025-02-26
AeroStack,AgriTech,Smart Farming,Noida,Ventures India,Seed,1.719,2024-11-17
HomeAnalytics,HealthTech,Telemedicine,Noida,"Bessemer Venture Partners, Lightspeed India",Series B,665.82,2022-12-22
NextFlow,Enterprise,Automation,Delhi,Lightspeed India,Seed,15.669,2020-10-26
HyperLoop,RealEstate,PropTech,Delhi,"A91 Partners, Mirae Asset",Bridge,1.143,2023-07-10
EduMart,AgriTech,Marketplace,Ahmedabad,"Info Edge, Mirae Asset, SoftBank Vision Fund",Seed,2.817,2025-06-11
Oyo,Retail,Grocery,Ahmedabad,SoftBank Vision Fund,Seed,1.368,2022-11-05
EduBox_144,SaaS,HRTech,Mumbai,Omidyar Network,Series B,99.126,2025-06-24
ClearDekho,FoodTech,Food Delivery,Ahmedabad,"Info Edge, LCatterton, Zodius Capital",Series A,9.945,2024-06-09
FinFoods,Consumer Electronics,Smart Home,Delhi,Zodius Capital,Bridge,4.266,2022-07-11
DataHive,E-commerce,Grocery,Delhi,"Falcon Edge, Tiger Global Management",Pre-Seed,0.576,2023-12-20
NextSense,Logistics,Supply Chain,Chennai,"Ribbit Capital, Tiger Global",Series C,206.928,2023-10-22
WorkStack_149,E-commerce,Grocery,Chennai,"Nexus Venture Partners, Omidyar Network, Tiger Global Management",Seed,1.26,2024-01-22
HealthRise,HealthTech,Pharmacy,Hyderabad,"Kalaari Capital, Omidyar Network, Peak XV",Bridge,12.834,2023-12-01
FreshTech,RealEstate,Home Services,Delhi,"Accel, LCatterton, Tiger Global Management",Series B,87.435,2024-08-24
Innovaccer,Mobility,EV,Bengaluru,SoftBank Vision Fund,Pre-Series A,1.26,2021-01-04
Myntra,EdTech,K12,Delhi,Falcon Edge,Seed,2.736,2021-08-28
GrowthConnect,Retail,Fashion,Delhi,Blume Ventures,Series A,129.852,2020-11-11
Dream11,Media,Content,Bengaluru,"Elevation Capital, Info Edge, Matrix Partners India",Pre-Series A,1.575,2023-10-17
EduMart,EdTech,UpSkilling,Kolkata,Prosus Ventures,Angel,0.333,2021-02-01
Dailyhunt,Consumer Electronics,Wearables,Chennai,Zodius Capital,Series A,70.794,2022-05-07
FinSense,FinTech,InsurTech,Pune,"Elevation Capital, IFC, Zodius Capital",Series A,17.127,2020-07-29
BharatPe,Logistics,Supply Chain,Noida,Peak XV,Seed,6.606,2022-06-14
HomeAnalytics,SaaS,B2B SaaS,Chennai,Matrix Partners India,Seed,1.746,2022-10-25
HealthRise,FinTech,WealthTech,Mumbai,Bessemer Venture Partners,Series D,1929.825,2023-08-24
FinSense_162,Enterprise,Security,Delhi,"LCatterton, Omidyar Network",Series C,1000.836,2022-08-18
PhonePe,Logistics,Last Mile,Delhi,"Accel, Falcon Edge",Series A,38.403,2024-01-29
SmartTech,E-commerce,Quick Commerce,Gurugram,"Accel, Info Edge",Pre-Series A,1.107,2024-06-13
Chargebee,AgriTech,Marketplace,Bengaluru,Kedaara Capital,Series B,456.057,2023-03-23
Cars24,FoodTech,Cloud Kitchen,Ahmedabad,"Blume Ventures, Prosus Ventures",Pre-Series A,1.881,2023-03-14
ShareChat,E-commerce,Grocery,Noida,"IFC, Sequoia Capital India",Series A,14.913,2022-11-05
FarmFit,SaaS,HRTech,Bengaluru,Matrix Partners India,Pre-Series A,0.99,2020-05-18
Zomato,Retail,Fashion,Pune,"Ribbit Capital, SoftBank Vision Fund",Seed,3.978,2021-12-22
SmartMart,Consumer Electronics,Smart Home,Delhi,"Bessemer Venture Partners, Elevation Capital, Info Edge",Series C,1127.583,2020-05-09
FarmFit,FinTech,WealthTech,Hyderabad,"Mirae Asset, Sequoia Capital India",Series A,9.414,2024-07-27
FinFoods,Enterprise,Analytics,Pune,Info Edge,Seed,2.979,2024-06-25
FoodFit,FoodTech,Food Delivery,Delhi,Peak XV,Series A,16.623,2022-10-15
NextStack,Media,Content,Mumbai,A91 Partners,Series A,51.642,2024-08-11
AgriSense,SaaS,HRTech,Hyderabad,"Blume Ventures, Info Edge",Series A,14.436,2024-01-09
EduMart_176,Enterprise,Security,Ahmedabad,"Peak XV, Tiger Global, Tiger Global Management",Debt,65.925,2021-07-16
CoreConnect,Retail,Fashion,Delhi,"Info Edge, Prosus Ventures",Bridge,1.872,2020-10-19
FreshSolutions_178,Retail,Fashion,Pune,"Nexus Venture Partners, Sequoia Capital India",Pre-Series A,7.776,2025-04-28
EduBox,SaaS,MarTech,Mumbai,Kalaari Capital,Series A,13.059,2022-12-20
QuantumSolutions,E-commerce,Quick Commerce,Delhi,"Bessemer Venture Partners, Nexus Venture Partners",Series A,22.662,2022-03-03
EduMart,AgriTech,Smart Farming,Kolkata,Info Edge,Seed,0.684,2020-10-04
Ola,E-commerce,D2C,Pune,Elevation Capital,Series B,584.325,2023-01-31
NextSense,Media,Streaming,Delhi,Nexus Venture Partners,Series C,1936.881,2022-11-07
CloudPay,EdTech,Coding Bootcamp,Bengaluru,Mirae Asset,Pre-Series A,1.629,2023-03-18
LogiSense,E-commerce,Quick Commerce,Hyderabad,"Kalaari Capital, Mirae Asset",Pre-Series A,4.113,2024-01-08
Groww,HealthTech,Pharmacy,Mumbai,"IFC, SoftBank Vision Fund",Series A,82.296,2023-10-24
BlueTech,HealthTech,Health Analytics,Noida,Falcon Edge,Angel,0.234,2020-04-23
Oyo,HealthTech,Diagnostics,Pune,Peak XV,Angel,0.216,2021-04-06
HealthAnalytics,Logistics,Last Mile,Noida,Omidyar Network,Seed,1.098,2023-07-04
Bounce,Mobility,Micro Mobility,Delhi,Blume Ventures,Series A,11.583,2023-04-04
BlueSpace,AgriTech,Supply Chain,Bengaluru,"Bessemer Venture Partners, Lightspeed India, Matrix Partners India",Seed,12.321,2025-04-26
SkillRise,FinTech,InsurTech,Noida,Mirae Asset,Seed,12.465,2025-05-13
CoreConnect,E-commerce,Quick Commerce,Delhi,"Lightspeed India, Omidyar Network",Series A,49.986,2022-09-18
HyperLabs,SaaS,HRTech,Chennai,"A91 Partners, SoftBank Vision Fund",Seed,1.575,2022-01-28
InMobi,E-commerce,D2C,Kolkata,Elevation Capital,Seed,1.629,2020-07-17
AeroHub,FoodTech,Cloud Kitchen,Delhi,"Blume Ventures, Kedaara Capital",Series C,1285.47,2025-03-27
NextSense,Mobility,EV,Kolkata,Accel,Growth,4801.932,2022-10-15
DriveFit,EdTech,K12,Ahmedabad,Mirae Asset,Pre-Series A,6.939,2020-04-13
CoreSpace,FinTech,Payments,Chennai,"Kalaari Capital, Tiger Global, Y Combinator",Seed,7.992,2021-06-25
Udaan,AgriTech,Marketplace,Gurugram,Kalaari Capital,Pre-Series A,3.951,2021-08-14
EduBox,Logistics,Fleet Management,Ahmedabad,Kalaari Capital,Seed,0.612,2025-06-19
BlueSpace,SaaS,DevTools,Gurugram,Tiger Global,Series A,13.941,2022-04-02
WorkStack,Mobility,EV,Delhi,SoftBank Vision Fund,Series A,102.573,2022-11-21
FoodLoop,AgriTech,Marketplace,Hyderabad,"Falcon Edge, Kedaara Capital",Series A,46.503,2022-11-04
Delhivery,Consumer Electronics,Audio,Pune,"Bessemer Venture Partners, Omidyar Network",Seed,0.468,2020-08-12
GrowthFlow,Logistics,Fleet Management,Ahmedabad,Omidyar Network,Series A,11.844,2024-01-17
Lenskart,Mobility,Micro Mobility,Ahmedabad,Zodius Capital,Series C,1085.454,2022-02-17
HomeMart_208,Media,Social,Gurugram,"Nexus Venture Partners, Prosus Ventures",Pre-Seed,0.18,2021-10-04
Flipkart,Mobility,Micro Mobility,Kolkata,"Lightspeed India, Nexus Venture Partners, Tiger Global",Growth,687.888,2024-02-15
NeoSense,Consumer Electronics,Smart Home,Chennai,"LCatterton, SoftBank Vision Fund",Seed,3.411,2020-12-20
AgriFit,Enterprise,Automation,Hyderabad,Elevation Capital,Series A,58.608,2021-01-28
Delhivery,EdTech,UpSkilling,Hyderabad,"A91 Partners, Mirae Asset",Series B,274.32,2023-11-14
SkillSolutions,AgriTech,Marketplace,Noida,"Peak XV, Zodius Capital",Pre-Series A,1.512,2025-06-30
GreenConnect,Logistics,Fleet Management,Mumbai,"Lightspeed India, Matrix Partners India, Mirae Asset",Seed,6.228,2022-06-24
SkillFlow,Media,Content,Delhi,"Matrix Partners India, Tiger Global",Seed,1.08,2024-02-26
Zepto,RealEstate,PropTech,Bengaluru,"Mirae Asset, Nexus Venture Partners, Prosus Ventures",Seed,1.494,2021-11-07
NextSense,Consumer Electronics,Wearables,Gurugram,Elevation Capital,Series C,1358.982,2021-08-11
HealthWorks,E-commerce,Grocery,Gurugram,LCatterton,Series A,52.272,2024-01-20
NoBroker,FoodTech,Cloud Kitchen,Bengaluru,"Blume Ventures, Ventures India",Debt,176.31,2022-03-24
Cars24,FinTech,Payments,Hyderabad,Elevation Capital,Series A,53.415,2020-08-07
NimbusLabs,HealthTech,Health Analytics,Hyderabad,Blume Ventures,Seed,3.663,2020-08-18
LogiRise,Media,Social,Bengaluru,A91 Partners,Series B,58.347,2024-06-07
CloudLabs,Enterprise,Automation,Chennai,Accel,Series C,487.233,2022-11-21
Wakefit,HealthTech,Diagnostics,Kolkata,Matrix Partners India,Seed,1.197,2021-05-23
FinSpace,Logistics,Supply Chain,Hyderabad,Matrix Partners India,Series A,17.424,2023-03-19
ShareChat,Media,Social,Bengaluru,Blume Ventures,Series B,668.088,2022-08-11
AeroAnalytics,Media,Content,Mumbai,Y Combinator,Series B,133.83,2025-04-10
HomeAnalytics,HealthTech,Health Analytics,Delhi,Kalaari Capital,Series A,100.782,2023-05-25
CoreSpace,Retail,Fashion,Gurugram,"Accel, IFC",Series C,994.374,2023-10-25
EduMart,SaaS,B2B SaaS,Ahmedabad,"LCatterton, Lightspeed India",Seed,8.442,2024-08-24
WorkPay,Enterprise,Automation,Kolkata,"Accel, Falcon Edge, Omidyar Network",Seed,2.871,2021-02-24
NimbusMart,Mobility,EV,Kolkata,"Prosus Ventures, SoftBank Vision Fund",Series A,42.93,2023-02-18
DataAnalytics,Enterprise,Analytics,Gurugram,"SoftBank Vision Fund, Tiger Global",Series A,34.155,2020-04-02
HealthWorks,E-commerce,Fashion,Bengaluru,Ventures India,Seed,0.927,2021-01-03
QuantumDrive,FoodTech,Food Delivery,Chennai,"IFC, Nexus Venture Partners",Pre-Series A,4.752,2023-10-30
Housejoy,HealthTech,Health Analytics,Noida,Zodius Capital,Seed,1.269,2025-06-27
DataAnalytics,Consumer Electronics,Smart Home,Noida,Matrix Partners India,Pre-Series A,0.954,2022-02-15
FoodSolutions,EdTech,Test Prep,Bengaluru,"IFC, Ventures India",Series C,1033.731,2022-05-08
PhonePe,EdTech,K12,Mumbai,"Kedaara Capital, Omidyar Network",Seed,0.864,2020-03-09
Postman,EdTech,Test Prep,Chennai,Ventures India,Series A,114.894,2023-01-10
NimbusMart,Logistics,Last Mile,Ahmedabad,"IFC, Matrix Partners India, Zodius Capital",Seed,15.183,2023-05-09
HomeAnalytics,Logistics,Last Mile,Noida,"Info Edge, LCatterton, Ribbit Capital",Bridge,13.149,2024-12-06
NimbusLabs_243,SaaS,MarTech,Noida,"Nexus Venture Partners, Y Combinator",Seed,1.764,2022-05-02
FarmBox,EdTech,UpSkilling,Delhi,A91 Partners,Series C,187.695,2025-02-16
SkillRise,HealthTech,Health Analytics,Gurugram,"Accel, Info Edge, Y Combinator",Seed,13.815,2021-11-07
FinFoods_246,FoodTech,Grocery,Ahmedabad,Blume Ventures,Series A,28.692,2024-11-24
GreenEdge,Enterprise,Security,Hyderabad,Peak XV,Bridge,15.921,2020-02-01
Housejoy,Media,Content,Gurugram,Kalaari Capital,Series B,650.916,2023-12-12
MediWorks,Retail,Grocery,Chennai,SoftBank Vision Fund,Series A,90.666,2023-08-21
ShareChat,Mobility,EV,Kolkata,"SoftBank Vision Fund, Ventures India",Seed,1.332,2024-01-19
CoreFlow,FoodTech,Cloud Kitchen,Ahmedabad,Sequoia Capital India,Growth,1243.323,2024-02-27
SkillRise,EdTech,UpSkilling,Gurugram,Mirae Asset,Pre-Series A,6.39,2024-09-02
BlueSpace,Enterprise,Security,Kolkata,Blume Ventures,Series A,21.231,2024-02-09
NeoLabs,Mobility,Micro Mobility,Bengaluru,Peak XV,Series A,14.238,2024-09-14
Postman,Retail,E-Retail,Chennai,Tiger Global,Seed,3.51,2023-07-15
WorkPay_256,Mobility,EV,Pune,"LCatterton, Peak XV, Prosus Ventures",Seed,14.22,2023-07-30
PhonePe,FinTech,NeoBank,Noida,"Falcon Edge, Kedaara Capital",Pre-Series A,4.473,2020-02-04
SmartTech_258,Enterprise,Automation,Chennai,Accel,Series C,842.787,2025-02-06
Wakefit,Mobility,Ride Sharing,Gurugram,Zodius Capital,Seed,0.648,2022-12-14
NextStack,E-commerce,D2C,Chennai,"IFC, Lightspeed India, Prosus Ventures",Series A,47.592,2021-05-13
GreenMart,FoodTech,Food Delivery,Noida,Kedaara Capital,Series A,131.409,2023-07-28
WorkFit,FoodTech,Grocery,Pune,LCatterton,Series A,13.149,2024-10-23
